# 
# 07/24/2024 13:00:25
# The parameters defined in the project are:
# ,P1 - C1 [degree],P2 - C2 [degree],P3 - C3 [degree],P4 - C4 [degree],P5 - W1 [degree],P6 - W2 [degree],P13 - velocity [m s^-1],P7 - fx-op [N],P8 - fy-op [N],P9 - fz-op [N],P10 - tx-op [J],P11 - ty-op [J],P12 - tz-op [J]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P13,P7,P8,P9,P10,P11,P12
DP 0,0.1,0.1,0.1,0.1,0.1,0.1,102,1.3677674,0.51000227,33.481512,-0.81738521,0.46510902,0.014655763
DP 1,5.23,3.2,10.689,0.152,0.819,5.23,102,9.4714468,-76.587338,42.884553,22.675831,3.3448832,0.12918755
DP 2,0.1,0.1,0.1,0.1,0.1,0.1,102,1.4123004,0.53382723,33.482857,-0.82700817,0.49105988,0.01436773
DP 3,0.1,10,0.1,0.1,0.1,0.1,102,0.87367909,-0.70951278,34.496239,-0.37546828,4.4686618,0.084112472
DP 4,0.1,20,0.1,0.1,0.1,0.1,102,0.12505773,-3.1595845,36.513391,0.67222467,7.0786627,0.067247881
DP 5,0.1,30,0.1,0.1,0.1,0.1,102,-0.77579915,-4.4416536,39.969959,1.4103528,6.8206672,0.044993435
DP 6,10,0.1,0.1,0.1,0.1,0.1,102,1.4905836,-1.2543617,33.874379,0.49444815,-3.8144702,0.072558254
DP 7,10,10,0.1,0.1,0.1,0.1,102,2.393639,-1.8740931,34.585619,0.52186585,1.0096714,0.13442504
DP 8,10,20,0.1,0.1,0.1,0.1,102,-0.095965903,-3.9405931,37.12305,1.1065526,2.8094922,0.13874418
DP 9,10,30,0.1,0.1,0.1,0.1,102,0.7237236,-3.7790131,41.050314,1.1859082,3.6106226,0.14218961
DP 10,20,0.1,0.1,0.1,0.1,0.1,102,3.2281799,1.3075038,36.569909,-0.50975666,-5.8557125,0.08108383
DP 11,20,10,0.1,0.1,0.1,0.1,102,2.1683785,-0.3757514,36.711811,0.20959021,-2.1399899,0.13292641
DP 12,20,20,0.1,0.1,0.1,0.1,102,0.5599233,-1.3764595,39.079504,0.16807371,0.10616555,0.15695263
DP 13,20,30,0.1,0.1,0.1,0.1,102,1.7106386,-4.1220985,43.173706,1.6618497,1.3441101,0.102519
DP 14,30,0.1,0.1,0.1,0.1,0.1,102,2.8567649,1.5945,40.544282,-0.52550334,-6.3991209,0.074041144
DP 15,30,10,0.1,0.1,0.1,0.1,102,2.549248,1.5038166,40.737834,-0.87488127,-2.1804545,0.1298679
DP 16,30,20,0.1,0.1,0.1,0.1,102,1.2066509,0.72496965,43.061934,-1.0134245,0.41229216,0.11146093
DP 17,30,30,0.1,0.1,0.1,0.1,102,1.1438005,-1.0761851,46.05756,0.1316842,0.33158267,0.081172443
DP 18,-20.1,-20.1,0.1,0.1,0.1,0.1,102,2.9116713,0.032844338,39.510927,-0.42659549,1.3622992,-0.11242703
DP 19,-20.1,-15.1,0.1,0.1,0.1,0.1,102,0.17151047,-0.26678216,37.954461,0.054537571,1.1727079,-0.15513197
DP 20,-20.1,-10.1,0.1,0.1,0.1,0.1,102,1.2541239,0.14443713,37.051811,-0.049355993,3.087233,-0.10954546
DP 21,-20.1,-5.1,0.1,0.1,0.1,0.1,102,0.69598422,0.91672713,36.900627,-0.36975432,4.7997425,-0.093630224
DP 22,-20.1,0.1,0.1,0.1,0.1,0.1,102,-0.29236356,0.29003836,36.463373,0.024603842,7.064184,-0.060203292
DP 23,-20.1,5.1,0.1,0.1,0.1,0.1,102,-0.49324321,0.20659015,37.01257,-0.0017422876,9.0891463,-0.03000731
DP 24,-20.1,10.1,0.1,0.1,0.1,0.1,102,-1.2988629,-0.9832403,37.617981,0.54446165,10.902594,-0.0052138855
DP 25,-20.1,15.1,0.1,0.1,0.1,0.1,102,-2.0981012,-1.2946202,38.633146,0.46927958,11.711601,0.023505761
DP 26,-20.1,20.1,0.1,0.1,0.1,0.1,102,-2.3667746,-1.0371539,40.115066,0.037443223,12.942649,-0.0040251267
DP 27,-15.1,-20.1,0.1,0.1,0.1,0.1,102,2.0328862,-1.7018161,37.887587,0.43014918,-0.99709158,-0.1294979
DP 28,-15.1,-15.1,0.1,0.1,0.1,0.1,102,2.1923672,-0.3522488,36.536615,-0.18272703,0.692767,-0.14898514
DP 29,-15.1,-10.1,0.1,0.1,0.1,0.1,102,-0.45584907,-2.1982526,35.669531,1.0561912,0.44695163,-0.12530184
DP 30,-15.1,-5.1,0.1,0.1,0.1,0.1,102,1.6882224,-0.04417843,35.142389,0.27787609,3.7955061,-0.099474912
DP 31,-15.1,0.1,0.1,0.1,0.1,0.1,102,0.92389677,0.28194758,35.311462,-0.13234682,6.0895078,-0.057583175
DP 32,-15.1,5.1,0.1,0.1,0.1,0.1,102,0.58495306,-1.3422837,35.435679,0.64288294,8.0396799,-0.031594649
DP 33,-15.1,10.1,0.1,0.1,0.1,0.1,102,-0.45925737,-0.95632454,36.248806,0.30184889,9.6851232,-0.0066059278
DP 34,-15.1,15.1,0.1,0.1,0.1,0.1,102,-1.8015292,-0.90805552,36.835419,-0.00015275877,10.335738,0.005301327
DP 35,-15.1,20.1,0.1,0.1,0.1,0.1,102,-2.0298056,-1.7552584,38.666656,0.18312469,11.734811,-0.010101053
DP 36,-10.1,-20.1,0.1,0.1,0.1,0.1,102,1.5296917,-3.3003646,37.445001,1.0555083,-2.355663,-0.096663455
DP 37,-10.1,-15.1,0.1,0.1,0.1,0.1,102,0.39272583,-1.5137364,35.625708,0.24507292,-1.3044361,-0.11506309
DP 38,-10.1,-10.1,0.1,0.1,0.1,0.1,102,1.4684932,-1.5299271,34.621033,0.45787071,0.58793558,-0.11663771
DP 39,-10.1,-5.1,0.1,0.1,0.1,0.1,102,1.469185,-2.782082,34.500073,1.3275187,2.5576445,-0.10408937
DP 40,-10.1,0.1,0.1,0.1,0.1,0.1,102,1.154964,-1.0314145,34.165411,0.45303076,4.913559,-0.051665734
DP 41,-10.1,5.1,0.1,0.1,0.1,0.1,102,0.3911809,-2.4326664,34.459679,1.0407746,7.068424,-0.012280908
DP 42,-10.1,10.1,0.1,0.1,0.1,0.1,102,-0.49722961,-0.67099446,34.842128,-0.012371426,8.3779846,-0.006130578
DP 43,-10.1,15.1,0.1,0.1,0.1,0.1,102,-0.38468179,-1.0630558,36.387407,-0.13444344,10.262845,0.016802522
DP 44,-10.1,20.1,0.1,0.1,0.1,0.1,102,-1.7932622,-2.9196784,37.442397,0.99761907,10.680724,0.017959132
DP 45,-5.1,-20.1,0.1,0.1,0.1,0.1,102,4.4545514,-2.0926631,36.504844,-0.065959174,-2.815824,-0.08412996
DP 46,-5.1,-15.1,0.1,0.1,0.1,0.1,102,2.0647453,-3.2030816,35.284438,1.01571,-2.3559025,-0.095569672
DP 47,-5.1,-10.1,0.1,0.1,0.1,0.1,102,3.8205469,-1.5335115,34.311831,0.20887888,-0.2410073,-0.086236183
DP 48,-5.1,-5.1,0.1,0.1,0.1,0.1,102,2.343519,-0.86564676,33.851258,0.12863357,1.0871382,-0.05894958
DP 49,-5.1,0.1,0.1,0.1,0.1,0.1,102,2.151469,-0.6844179,33.883036,0.11063462,3.4846501,-0.022969481
DP 50,-5.1,5.1,0.1,0.1,0.1,0.1,102,0.4264263,-2.2012096,33.722154,0.79262513,4.8880114,0.0071547883
DP 51,-5.1,10.1,0.1,0.1,0.1,0.1,102,-0.59191678,-1.0925527,34.279563,-0.036709824,6.5468154,0.040941306
DP 52,-5.1,15.1,0.1,0.1,0.1,0.1,102,0.096109991,-3.1452453,35.763321,0.85676553,8.0737405,0.042971155
DP 53,-5.1,20.1,0.1,0.1,0.1,0.1,102,-0.7996621,-3.6631482,37.14702,1.0182014,9.3257299,0.023546038
DP 54,0.1,-20.1,0.1,0.1,0.1,0.1,102,2.820197,-3.0823562,36.776514,0.56215845,-6.229525,-0.066632607
DP 55,0.1,-15.1,0.1,0.1,0.1,0.1,102,1.7560324,-1.6191079,35.460843,-0.018276524,-4.9093627,-0.055062262
DP 56,0.1,-10.1,0.1,0.1,0.1,0.1,102,3.4910703,-0.24303368,34.228533,-0.72145533,-2.9342785,-0.053976212
DP 57,0.1,-5.1,0.1,0.1,0.1,0.1,102,0.88604023,0.19978545,33.713276,-0.67956731,-2.3509803,-0.028099504
DP 58,0.1,0.1,0.1,0.1,0.1,0.1,102,1.3677674,0.51000227,33.481512,-0.81738521,0.46510902,0.014655763
DP 59,0.1,5.1,0.1,0.1,0.1,0.1,102,0.75316695,-2.8306528,33.652712,0.94586022,2.4380441,0.051380083
DP 60,0.1,10.1,0.1,0.1,0.1,0.1,102,1.4192946,-2.1805986,34.377748,0.40412169,5.0136563,0.080862093
DP 61,0.1,15.1,0.1,0.1,0.1,0.1,102,0.81056122,-1.6195325,35.412948,-0.047734281,6.2364482,0.068874663
DP 62,0.1,20.1,0.1,0.1,0.1,0.1,102,-0.34873413,-4.4708185,36.855649,1.3750435,6.9588343,0.068180823
DP 63,5.1,-20.1,0.1,0.1,0.1,0.1,102,3.2467298,-3.4809805,37.377214,0.76774119,-8.4313479,-0.030587866
DP 64,5.1,-15.1,0.1,0.1,0.1,0.1,102,2.9711626,-2.4714779,35.479927,0.64149157,-6.8686339,-0.0077284377
DP 65,5.1,-10.1,0.1,0.1,0.1,0.1,102,2.6705928,-1.3827181,34.515973,-0.049272498,-5.9287814,-0.011404125
DP 66,5.1,-5.1,0.1,0.1,0.1,0.1,102,2.96174,-2.1703619,33.634998,0.81790001,-3.5478229,0.015763551
DP 67,5.1,0.1,0.1,0.1,0.1,0.1,102,3.3513329,-1.4728044,33.644702,0.3271133,-0.85255989,0.043788591
DP 68,5.1,5.1,0.1,0.1,0.1,0.1,102,3.7105356,-0.27235347,33.940973,-0.12437818,1.7508339,0.085111298
DP 69,5.1,10.1,0.1,0.1,0.1,0.1,102,1.6911061,-1.0172788,34.170744,-0.04920358,2.8872133,0.10549684
DP 70,5.1,15.1,0.1,0.1,0.1,0.1,102,0.072277945,-2.2975355,35.082305,0.32604211,3.2826789,0.12073522
DP 71,5.1,20.1,0.1,0.1,0.1,0.1,102,1.0748158,-3.3416662,36.89299,0.85300505,5.2335556,0.11473594
DP 72,10.1,-20.1,0.1,0.1,0.1,0.1,102,4.9416392,-2.9065922,37.259316,0.75516368,-9.6045825,0.015115443
DP 73,10.1,-15.1,0.1,0.1,0.1,0.1,102,4.3249015,-1.9703823,35.511847,0.49398567,-7.9380493,-0.012954344
DP 74,10.1,-10.1,0.1,0.1,0.1,0.1,102,3.2736668,0.30935512,35.196788,-0.52291126,-7.5519592,0.027832439
DP 75,10.1,-5.1,0.1,0.1,0.1,0.1,102,3.1520155,-0.13541927,34.362457,-0.31315985,-5.6629689,0.031462371
DP 76,10.1,0.1,0.1,0.1,0.1,0.1,102,1.3539492,0.076957716,34.050744,-0.095538715,-3.6667655,0.08231964
DP 77,10.1,5.1,0.1,0.1,0.1,0.1,102,1.0905642,0.34302488,34.469703,-0.47071913,-1.806681,0.095707561
DP 78,10.1,10.1,0.1,0.1,0.1,0.1,102,2.7367495,-0.53412027,34.969795,-0.14131141,1.3816887,0.14542127
DP 79,10.1,15.1,0.1,0.1,0.1,0.1,102,2.2870893,-1.5903968,35.845481,0.47757601,2.4780463,0.14113424
DP 80,10.1,20.1,0.1,0.1,0.1,0.1,102,1.5424697,-2.2375293,37.572696,0.33498066,3.6302833,0.12503621
DP 81,15.1,-20.1,0.1,0.1,0.1,0.1,102,4.6955714,-2.9939655,38.588817,1.0398829,-10.602162,0.038133935
DP 82,15.1,-15.1,0.1,0.1,0.1,0.1,102,2.9731192,-1.0723418,37.203056,0.10172586,-9.6690434,0.0068172912
DP 83,15.1,-10.1,0.1,0.1,0.1,0.1,102,4.3040418,-1.1495008,35.766235,0.26062716,-7.8868211,0.016062678
DP 84,15.1,-5.1,0.1,0.1,0.1,0.1,102,2.2712207,0.4782351,35.669338,-0.41922868,-6.9066466,0.065839988
DP 85,15.1,0.1,0.1,0.1,0.1,0.1,102,3.4552515,-1.253992,34.778726,0.64029596,-3.9121681,0.093536399
DP 86,15.1,5.1,0.1,0.1,0.1,0.1,102,2.9400497,-1.1968808,34.92701,0.64583472,-1.6949028,0.12302885
DP 87,15.1,10.1,0.1,0.1,0.1,0.1,102,2.6584504,-0.063317195,35.742592,-0.19654391,0.14785863,0.14823791
DP 88,15.1,15.1,0.1,0.1,0.1,0.1,102,1.0586513,-0.20681982,36.743676,-0.43459069,0.89931019,0.15641508
DP 89,15.1,20.1,0.1,0.1,0.1,0.1,102,1.0511228,-4.0039302,38.307982,1.4368851,2.1711726,0.1547672
DP 90,20.1,-20.1,0.1,0.1,0.1,0.1,102,6.0817615,-0.61358895,39.719344,-0.0047416245,-11.880386,0.024199593
DP 91,20.1,-15.1,0.1,0.1,0.1,0.1,102,4.8784013,-0.4765643,38.495664,0.011061257,-10.699481,-0.00018257769
DP 92,20.1,-10.1,0.1,0.1,0.1,0.1,102,4.390061,-0.3931233,37.396239,0.2584244,-9.7831568,0.023397421
