Column0,Column1,Column2,Column3,Column4,Column5
0,-30,-30,0,0,0
0,-30,-20,0,0,0
0,-30,-10,0,0,0
0,-30,0,0,0,0
0,-30,10,0,0,0
0,-30,20,0,0,0
0,-30,30,0,0,0
0,-20,-30,0,0,0
0,-20,-20,0,0,0
0,-20,-10,0,0,0
0,-20,0,0,0,0
0,-20,10,0,0,0
0,-20,20,0,0,0
0,-20,30,0,0,0
0,-10,-30,0,0,0
0,-10,-20,0,0,0
0,-10,-10,0,0,0
0,-10,0,0,0,0
0,-10,10,0,0,0
0,-10,20,0,0,0
0,-10,30,0,0,0
0,0,-30,0,0,0
0,0,-20,0,0,0
0,0,-10,0,0,0
0,0,0,0,0,0
0,0,10,0,0,0
0,0,20,0,0,0
0,0,30,0,0,0
0,10,-30,0,0,0
0,10,-20,0,0,0
0,10,-10,0,0,0
0,10,0,0,0,0
0,10,10,0,0,0
0,10,20,0,0,0
0,10,30,0,0,0
0,20,-30,0,0,0
0,20,-20,0,0,0
0,20,-10,0,0,0
0,20,0,0,0,0
0,20,10,0,0,0
0,20,20,0,0,0
0,20,30,0,0,0
0,30,-30,0,0,0
0,30,-20,0,0,0
0,30,-10,0,0,0
0,30,0,0,0,0
0,30,10,0,0,0
0,30,20,0,0,0
0,30,30,0,0,0
0,-30,-30,20,0,0
0,-30,-20,20,0,0
0,-30,-10,20,0,0
0,-30,0,20,0,0
0,-30,10,20,0,0
0,-30,20,20,0,0
0,-30,30,20,0,0
0,-20,-30,20,0,0
0,-20,-20,20,0,0
0,-20,-10,20,0,0
0,-20,0,20,0,0
0,-20,10,20,0,0
0,-20,20,20,0,0
0,-20,30,20,0,0
0,-10,-30,20,0,0
0,-10,-20,20,0,0
0,-10,-10,20,0,0
0,-10,0,20,0,0
0,-10,10,20,0,0
0,-10,20,20,0,0
0,-10,30,20,0,0
0,0,-30,20,0,0
0,0,-20,20,0,0
0,0,-10,20,0,0
0,0,0,20,0,0
0,0,10,20,0,0
0,0,20,20,0,0
0,0,30,20,0,0
0,10,-30,20,0,0
0,10,-20,20,0,0
0,10,-10,20,0,0
0,10,0,20,0,0
0,10,10,20,0,0
0,10,20,20,0,0
0,10,30,20,0,0
0,20,-30,20,0,0
0,20,-20,20,0,0
0,20,-10,20,0,0
0,20,0,20,0,0
0,20,10,20,0,0
0,20,20,20,0,0
0,20,30,20,0,0
0,30,-30,20,0,0
0,30,-20,20,0,0
0,30,-10,20,0,0
0,30,0,20,0,0
0,30,10,20,0,0
0,30,20,20,0,0
0,30,30,20,0,0
